"","Coefficient","zip"
"1",NA,601
"2",NA,602
"3",NA,603
"4",NA,606
"5",NA,610
"6",NA,612
"7",NA,616
"8",NA,617
"9",NA,622
"10",NA,623
"11",NA,624
"12",NA,627
"13",NA,631
"14",NA,637
"15",NA,638
"16",NA,641
"17",NA,646
"18",NA,647
"19",NA,650
"20",NA,652
"21",NA,653
"22",NA,656
"23",NA,659
"24",NA,660
"25",NA,662
"26",NA,664
"27",NA,667
"28",NA,669
"29",NA,670
"30",NA,674
"31",NA,676
"32",NA,677
"33",NA,678
"34",NA,680
"35",NA,682
"36",NA,683
"37",NA,685
"38",NA,687
"39",NA,688
"40",NA,690
"41",NA,692
"42",NA,693
"43",NA,694
"44",NA,698
"45",NA,703
"46",NA,704
"47",NA,705
"48",NA,707
"49",NA,714
"50",NA,715
"51",NA,716
"52",NA,717
"53",NA,718
"54",NA,719
"55",NA,720
"56",NA,723
"57",NA,725
"58",NA,727
"59",NA,728
"60",NA,729
"61",NA,730
"62",NA,731
"63",NA,735
"64",NA,736
"65",NA,738
"66",NA,739
"67",NA,740
"68",NA,741
"69",NA,745
"70",NA,751
"71",NA,754
"72",NA,757
"73",NA,765
"74",NA,766
"75",NA,767
"76",NA,769
"77",NA,771
"78",NA,772
"79",NA,773
"80",NA,775
"81",NA,777
"82",NA,778
"83",NA,780
"84",NA,782
"85",NA,783
"86",NA,784
"87",NA,786
"88",NA,791
"89",NA,794
"90",NA,795
"91",NA,801
"92",NA,802
"93",NA,820
"94",NA,823
"95",NA,824
"96",NA,830
"97",NA,831
"98",NA,840
"99",NA,841
"100",NA,850
"101",NA,851
"102",NA,901
"103",NA,906
"104",NA,907
"105",NA,909
"106",NA,911
"107",NA,912
"108",NA,913
"109",NA,915
"110",NA,917
"111",NA,918
"112",NA,920
"113",NA,921
"114",NA,923
"115",NA,924
"116",NA,925
"117",NA,926
"118",NA,927
"119",NA,934
"120",NA,936
"121",NA,949
"122",NA,950
"123",NA,951
"124",NA,952
"125",NA,953
"126",NA,956
"127",NA,957
"128",NA,959
"129",NA,960
"130",NA,961
"131",NA,962
"132",NA,965
"133",NA,966
"134",NA,968
"135",NA,969
"136",NA,971
"137",NA,976
"138",NA,979
"139",NA,982
"140",NA,983
"141",NA,985
"142",NA,987
"143",0.26844,1001
"144",0.26844,1002
"145",0.01699,1003
"146",0.25138,1005
"147",0.26844,1007
"148",0.14227,1008
"149",0.26844,1009
"150",0.26844,1010
"151",0.14227,1011
"152",0.01699,1012
"153",0.26844,1013
"154",0.26844,1020
"155",0.26844,1022
"156",0.01699,1026
"157",0.26844,1027
"158",0.26844,1028
"159",0.14227,1029
"160",0.26844,1030
"161",0.25138,1031
"162",0.01699,1032
"163",0.26844,1033
"164",0.26844,1034
"165",0.26844,1035
"166",0.26844,1036
"167",0.25138,1037
"168",0.01699,1038
"169",0.01699,1039
"170",0.26844,1040
"171",0.26844,1050
"172",0.26844,1053
"173",0.01699,1054
"174",0.26844,1056
"175",0.26844,1057
"176",0.26844,1060
"177",0.26844,1062
"178",0.26844,1063
"179",0.01699,1066
"180",0.25138,1068
"181",0.26844,1069
"182",0.01699,1070
"183",0.26844,1071
"184",0.01699,1072
"185",0.26844,1073
"186",0.25138,1074
"187",0.26844,1075
"188",0.26844,1077
"189",0.26844,1079
"190",0.26844,1080
"191",0.26844,1081
"192",0.26844,1082
"193",0.25138,1083
"194",0.01699,1084
"195",0.26844,1085
"196",0.26844,1086
"197",0.01699,1088
"198",0.26844,1089
"199",0.26844,1092
"200",0.01699,1093
"201",0.25138,1094
"202",0.26844,1095
"203",0.01699,1096
"204",0.26844,1097
"205",0.14227,1098
"206",0.26844,1103
"207",0.26844,1104
"208",0.26844,1105
"209",0.26844,1106
"210",0.26844,1107
"211",0.26844,1108
